content,date,title,label
"Berita SurabayaSURYA.co.id | SURABAYA - Pengembang properti PT Intiland Development Tbk (DILD; Intiland) terus memperkuat lini usaha kawasan industri dengan melakukan ekspansi pengembangan kawasan industri baru.Perseroan memulai pengembangan Batang Industrial Park (BIP), sebuah pengembangan baru kawasan industri terpadu yang lokasinya berada di Kabupaten Batang, provinsi Jawa Tengah.Permadi Indra Yoga, Direktur pengembangan bisnis Intiland menjelaskan pengembangan BIP menjadi salah satu strategi pertumbuhan usaha Perseroan untuk memperkuat portofolio dan kinerja usaha secara jangka panjang.Pengembangan ini sekaligus menjadi langkah antisipasi terhadap pertumbuhan kebutuhan lahan industri serta mendukung program pemerintah memperbanyak kawasan industri untuk menopang peningkatan pertumbuhan ekonomi nasional serta mendukung industri dalam negeri.“Kami mencermati kebutuhan terhadap lahan industri akan semakin meningkat di masa depan, sejalan dengan semakin banyak perusahaan yang ingin berekspansi. Pengembangan BIP punya nilai stategis bagi pertumbuhan usaha Intiland secara jangka panjang serta menjadi wujud komitmen dalam mendukung program pemerintah untuk pertumbuhan ekonomi, masuknya investasi dari luar negeri, dan terciptanya lapangan kerja baru,"" ungkap Permadi.Pengembangan kawasan industri merupakan salah satu dari empat segmen usaha utama Perseroan.BIP menjadi proyek kawasan industri kedua yang dimiliki Intiland, setelah sebelumnya sukses mengembangan Ngoro Industrial Park yang berlokasi di Mojokerto, Jawa Timur.BIP merupakan kawasan industri terpadu yang pengembangannya terbagi ke dalam beberapa tahapan.Pengembangan tahap pertama meliputi area seluas 287 hektare dan pengembangan selanjutnya direncanakan sampai dengan seluas 500 hektare.Dalam mengembangkan kawasan BIP, Intiland menganut prinsip-prinsip keberlanjutan dalam desain dan pengoperasian.Pengembangan kawasan industri ini berupaya untuk mematuhi kaidah-kaidah bangunan hijau, proses industribersih, dan sistem pengelolaan air yang ketat untuk menjaga keseimbangan dengan alam dan masyarakat sekitar.Lokasi BIP sangat strategis berada di jalur tol Trans Jawa yang menjadikannya mudah dijangkau dari kota Jakarta, Semarang, maupun Surabaya.Kawasan industri BIP berlokasi empat kilometer dari pintu tol Kademan KM 348 melalui jalan raya Pantura, sehingga sangat mudah dijangkau karena ditopang infrastruktur jalan yang baik.","Jumat, 10 Juni 2022 01:08",PT Intiland Development Kembangkan Kawasan Industri Baru Batang Industrial Park,noclickbait
"Berita SurabayaSURYA.co.id | SURABAYA - Brand ANKER semakin menegaskan posisinya di pasar aksesori ponsel dan pendukung gaya hidup mobile premium dengan ikut hadir di ajang tahunan Consumer Elecronic Show (CES) 2022.Pagelaran yang dihelat sejak tahun 1967 tersebut bertempat di Nevada, Amerika Serikat, dan telah menghadirkan berbagai produk muktahir setiap penyelenggaraannya.Di kehadirannya kali ini, ANKER membawa ke hadapan pengunjung maupun media dari seluruh dunia beberapa produk yang akan menjadi unggulan mereka sepanjang 2022 ini.Mulai dari pengisi daya bertenaga super besar, kamera web, proyektor, hingga perlengkapan keamanan canggih yang dapat menjadi andalan di rumah maupun kantor.“Tentunya kami sangat bangga ANKER dapat hadir di event bergengsi di Las Vegas. Ini menandakan bahwa kami serius dan komitmen sebagai brand yang terus menghadirkan produk-produk inovatif berkualitas premium yang memuaskan pengguna. Salah satu produk kami bahkan didapuk sebagai pemenang hadiah Nobel di ajang tersebut,” kata Ridwan Hidayat, Business Manager ANKER Indonesia, Rabu (8/6/2022).CES memberikan penghargaan kepada ANKER lewat produk terbaru mereka ANKER 736 Nano II 100W.Charger portabel ini memiliki total daya hingga 100W yang dilengkapi dengan dua buah porta USB tipe-C serta satu USB tipe-A, sehingga dapat mengisi 3 perangkat sekaligus secara cepat (fast charging).Yang mengagumkan adalah, dimensinya tetap kecil dan ringan.Semuanya itu bisa terwujud bekat teknologi GaN generasi terbaru yang dibawa oleh perangkat ini.GaN merupakan akronim dari Gallium Nitride, sebuah material mirip kristal yang mulai digunakan sejak tahun 90-an.Materi ini dapat mengonduksikan daya lebih besar dan lebih cepat sehingga lebih efisien serta tidak menghasilkan panas berlebih.Berkatnya, bisa mengisi daya MacBook Pro 16 (2021) dari kosong menjadi setengahnya hanya dalam waktu 40 menit saja.Saat mengisi beberapa perangkat sekaligus, ANKER 736 juga secara cerdas mampu mengidentifikasi perangkat untuk kemudian menyesuaikan besaran daya yang disuplainya.","Jumat, 10 Juni 2022 01:16",ANKER Menangkan Penghargaan Nobel Prize di Ajang Elektronik CES 2022,noclickbait
"Berita SurabayaSURYA.co.id | SURABAYA - PT Hartadinata Abadi Tbk atau Hartadinata meluncurkan flagship store yang bernama Hartadinata Abadi Store.Gerai yang pertama kali diluncurkan di Trans Studio Mall (TSM) Bandung ini, sekarang hadir di Surabaya, Jawa Timur.""Melalui Hartadinata Abadi Store ini, kami ingin memberikan layanan one stop shopping bagi masyarakat yang ingin membeli produk Hartadinata secara lengkap baik itu perhiasan emas 24K, Kencana, dan emas batangan EmasKITA yang merupakan kerjasama antara Hartadinata dan PT. Emas Antam Indonesia (EAI),"" kata Sandra Sunanto, Direktur Utama PT Hartadinata Abadi, Tbk, Rabu (8/6/2022).Selain itu, gerai ini juga menawarkan produk perhiasan emas bertahtakan berlian.Peluncuran Hartadinata Abadi Store di Surabaya itu, menurut Sandra, juga merupakan strategi dalam memenuhi permintaan pasar konsumen di Surabaya.""Kami melihat bahwa Surabaya merupakan wilayah yang menjanjikan dan memiliki potensi untuk produk emas batangan dan perhiasan emas murni,” jelas Sandra.Gerai Hartadinata Abadi Store di Surabaya adalah yang keenam.Sebelumnya, gerai emas ini sudah sempat diluncurkan pertama kali di Trans Studio Mall (TSM), Bandung.Kemudian dibuka juga di Kantor Taspen Bandung dan Kota Tasikmalaya, Jawa Barat.Selain itu, sebelum melakukan peluncuran Hartadinata Abadi Store, gerai ACC yang berada di dua kawasan di Jakarta yakni Cikini dan juga Blok M juga sudah berganti nama menjadi Hartadinata Abadi Store sejak 5 Maret 2022.Kemudian Hartadinata meluncurkan Hartadinata Abadi Store secara perdana di Trans Studio Mall (TSM) Bandung.Hartadinata Abadi Store adalah sebagai bentuk tanggapan Hartadinata terhadap permintaan pasar yang semakin meningkat.Hartadinata melihat peluang dari peningkatan ini untuk mengembangkan produk EmasKITA dan Kencana melalui flagship store Hartadinata Abadi, di mana Hartadinata Abadi Store fokus menjual produk EmasKITA dan Kencana yang  yang merupakan kerjasama dengan EAI yang bertujuan untuk mendorong investasi emas yang inklusif.","Jumat, 10 Juni 2022 01:27","Perluas Bisnis, Hartadinata Abadi Store Buka Gerai di Surabaya",noclickbait
"Berita SurabayaSURYA.co.id | SURABAYA – Penerimaan Peserta Didik Baru (PPDB) SMP tahun 2022/2023 di Kota Surabaya mulai dibuka, Jumat (10/6/2022).Ada dua jalur yang dibuka untuk tahap awal tersebut, yakni afirmasi inklusi dan afirmasi mitra warga.Bagi lulusan sekolah inklusi di Surabaya, Dindik Surabaya akan menempatkan langsung berdasarkan data tempat domisili sesuai kartu keluarga (KK).Sedangkan mira warga diperuntukkan bagi Masyarakat Berpenghasilan Rendah (MBR).Setelah pendaftaran dibuka 6 hari (10-15/6/2022), selanjutnya siswa terpilih akan diumumkan pada 16 Juni.”Pola daftarnya masih sama seperti SD. Untuk kategori mitra warga, CPDB dari luar MBR tidak bisa diterima,"" kata Kepala Dindik Surabaya Yusuf Masruh.Selain dua jalur tersebut, Dindik juga akan membuka PPDB jalur perpindahan tugas orang tua, 14-15 Juni 2022 mendatang.Kemudian, pendaftaran jalur prestasi nilai rapor dan prestasi perlombaan, 16-20 Juni 2022.Masing-masing jalur memiliki kuota berbeda. Jalur perpindahan orang, misalnya adalah paling banyak 5 persen.Kemudian, afirmasi kategori inklusi dan MBR paling sedikit 15 persen, diikuti jalur prestasi paling banyak 30 persen, dan jalur zonasi paling sedikit ada 50 persen.Surabaya memiliki 63 sekolah SMP Negeri.Total, ada 590 rombongan belajar (rombel) dengan maksimal 32 siswa per rombel.Pihaknya memastikan, seluruh proses transparan sebab diakses melalui system website ppdbsurabaya.net yang dikelola Dinas Pendidikan.","Jumat, 10 Juni 2022 01:34","PPDB SMP Dibuka Hari Ini, Dindik Surabaya Minta Wali Murid Tak Percayai Oknum 'Jual-Beli Bangku'",clickbait
"SURYA.co.id I Masih ingat Ronaldo Nazario, sang legenda Real Madrid dan Timnas Brazil?Lama tidak terdengar kabarnya setelah pensiun,  mantan pemain terbaik dunia tersebut, ternyata masih aktif dalam urusan sepak bola.Tentu saja dia sudah tidak lagi menjadi pemain. Bintang dengan rambut ikonik, potongan ""bathok kelapa"" tersebut kini menangai Klub Real Valladolid, dengan jabatan menetereng, Presiden Klub Real Valladolid.Kabar terbaru, Ronaldo Nazario baru saja memenuhi nazar bersepeda 450 kilometer, setelah klubnya berhasil promosi naik ke Liga Utama Spanyol, LaLiga musim 2022 - 2023.Ronaldo Nazario sempat bersedih ketika timnya terdegaradasi dari LaLiga musim 2021-2022. Selama setahun timnya di Segunda Division alias kasta kedua Liga Spanyol, Ronaldo berikrar membawa kembali timnya ke Laliga.Tekad tersebut bahkan ditunjukkan legenda timnas Brasil itu dengan sebuah nazar gila. Dilansir BolaSport.com dari Marca, Ronaldo bernazar akan melakukan perjalanan spiritual dari kandang Valladolid, Stadion Jose Zorrilla, ke gereja katedral Santiago de Compostela yang ada di Galicia dengan bersepeda.Ppanjang jalur yang akan dilalui oleh Ronaldo adalah sepanjang 450 kilometer.Pada akhir musim 2021-2022, Valladolid pun akhirnya sukses kembali promosi ke divisi teratas Liga Spanyol untuk musim 2022-2023.Klub yang berjuluk Pucela itu finis di posisi kedua Segunda Division di bawah Almeria dengan raihan 81 poin dari 42 pertandingan.Dengan hasil tersebut, Valladolid berhasil promosi otomatis ke LaLiga.Selaku pemilik dan Presiden Valladolid, Ronaldo pun menunaikan nazar yang sudah dia ucapkan sebelumnya.Sejak Senin (6/6/2022) waktu setempat, Ronaldo sudah melakukan perjalanan selama empat tahap dengan jarak masing-masing 50 kilometer.Eks penyerang Real Madrid itu tidak sendiri dan ditemani oleh kekasihnya, Celina Locks, seorang fisioterapis, mekanik, dan beberapa personel pendukung.Kini, pada Kamis (9/6/2022) waktu setempat, Ronaldo telah tiba di Santiago de Compostela dengan selamat.","Jumat, 10 Juni 2022 01:51","Liga Spanyol, Ronaldo Legenda Real Madrid, Jadi Presiden Valladolid, Nggowes 450 KM, Nyeri Semua",clickbait
"SURYA.co.id - Berikut Berita Persebaya Populer Hari ini, Jumat (10/6/202), yakni seputar dua pemain Bajul Ijo yang dipinjam Gresik United.Mereka adalah Akbar Firmansyah dan Ruy Arianto. Keduanya resmi dipinjam Gresik United untuk Mengarungi Liga 2 Musim Depan.Selanjutnya, ada juga biodata Michael Rumere, pemain trial Persebaya Surabaya asal Papua yang masuk skuad Piala Presiden 2022.Ia mulai gabung latihan tim berjuluk Bajol Ijo itu pada akhir Mei 2022.Berikut ulasan selengkapnya Berita Persebaya Populer Hari ini.1. Dua Pemain Bajul Ijo Dipinjam Gresik UnitedDua pemain Persebaya Surabaya resmi dipinjam klub promosi, Gresik United. Mereka adalah Akbar Firmansyah dan Ruy Arianto. Kepastian itu diketahui dari akun Twitter @indostransfer, Kamis (9/6/2022).""Confirmed! Klub promosi, Gresik United pastikan servis dua pemain potensial, Akbar Firmansyah dan Ruy Arianto untuk musim 2022/23. Kedua pemain didatangkan dengan status pinjaman Persebaya,"" bunyi cuitan tersebut.Lantas, siapa sosok kedua pemain tersebut?Akbar FirmansyahDilansir dari laman wikipedia, Akbar Firmansyah merupakan pemain asli didikan klub internal Persebaya Surabaya.Akbar, salah satu pemain muda jebolan klub internal Bintang Timur.Sebelum menembus ke tim Persebaya senior, Akbar Firmansyah meniti karir sepak bolanya dengan gabung di tim Persebaya junior.","Jumat, 10 Juni 2022 05:04","Berita Persebaya Populer Hari ini: 2 Pemain Bajul Ijo Dipinjam Gresik United, Biodata Michael Rumere",clickbait
"SURYA.co.id - Inilah kehebatan kapal perang KRI Frans Kaisiepo yang dikerahkan TNI AL untuk hancurkan kekuatan musuh saat latihan.Melansir dari laman tni.mil.id, Pemerintah berlakukan Darurat Sipil yang kemudian menjadi Darurat Militer dengan semakin maraknya serangan Asimetris terhadap armada niaga dan obyek vital di laut.Ekskalasi konflik semakin meningkat dengan dikuasainya salah satu pulau oleh negara musuh sehingga Presiden dengan persetujuan DPR mengumumkan keadaan perang.TNI AL melalui KRI Frans Kaisiepo 368 Koarmada II sebagai salah satu unsur Komando Gabungan berhasil menggagalkan serangan Asimetris, menghancurkan kekuatan laut musuh dan meluncurkan tim pendarat khusus Intai Amfibi (Taifib) Marinir ke pantai yang dikuasai musuh.Situasi tersebut merupakan skenario latihan KRI Frans Kaisepo-368 dengan Batalyon Intai Amfibi (Yontaifib) 2 Marinir, Pasmar 2 sebagai tindak lanjut dari perintah Kepala Staf Angkatan Laut, Laksamana TNI Yudo Margono.Latihan didesain untuk menghadapi berbagai spektrum dan ekskalasi ancaman.Materi latihan menghadapi ancaman Asimetris mencakup Force Protection, Visit, Board, Search and Seizure (VBSS), Ship Movement, Close Quarter Battle, Advanced Selective Fire, dan Prisoners Handling.Latihan peperangan dengan skenario Multi Threat juga dilaksanakan untuk melaksanakan misi Komando Tugas Laut Gabungan menghancurkan kekuatan laut musuh.Pada fase ini dilaksanakan simulasi penembakan Tetral, Exocet MM 40 Block 3, dan Torpedo, serta penembakan Meriam Otomelara Super Rapid Gun (OSRG) 76 mm, Meriam Vector 20 mm, dan senjata ringan.Setelah keunggulan laut berhasil direbut, KRI Frans Kaisiepo-368 mendapatkan misi lanjutan untuk meluncurkan tim pendarat khusus Intai Amfibi guna menunjang keberhasilan operasi Amfibi.Lantas, seperti apa kehebatan sebenarnya KRI Frans Kaisiepo?Melansir dari Wikipedia, KRI Frans Kaisiepo 368 merupakan kapal keempat dari korvet kelas SIGMA milik TNI Angkatan Laut.KRI Frans Kaisiepo merupakan sebuah korvet yang dibuat oleh galangan kapal Schelde, Belanda dimulai pada tahun 2006 khusus untuk TNI-AL.Bertugas sebagai kapal patroli dengan kemampuan anti-kapal permukaan, anti-kapal selam dan anti-pesawat udara.","Jumat, 10 Juni 2022 05:08","TNI AL Kerahkan KRI Frans Kaisiepo untuk Hancurkan Kekuatan Musuh Saat Latihan, ini Kehebatannya",clickbait
"SURYA.co.id - Berikut sejumlah fakta tentang Bendungan Engehalde, Swiss, lokasi jasad Emmeril Kahn Mumtadz atau Eril ditemukan.Kronologi penemuan jasad Eril dan unggahan terbaru sang ayah, Ridwan Kamil, juga terangkum dalam artikel ini.Diketahui, Eril ditemukan di Bendungan Engehalde pada Rabu (8/6/2022) sebelum pukul 06.50 waktu setempat.Jasad Eril ditemukan setelah 14 hari dinyatakan hilang di Sungai Aare Swiss, atau tepatnya pada 26 Mei 2022.Sementara itu, Ridwan Kamil langsung menuju Swiss setelah mendengar kabar jasad anaknya ditemukan.Ia mengajukan cuti ke Kementerian Dalam Negeri (Kemendagri) mulai tanggal 9 sampai 19 Juni 2022.Berikut selengkapnya rangkuman fakta tentang Bendungan Engehalde lokasi jasad Eril ditemukan.1. Terletak di pembangkit listrikMelansir dari Wikipedia, Bendungan Engehalde terletak di pembangkit listrikKraftwerk Felsenau, sebuah pembangkit listrik tenaga air yang ada di Sungai Aare di Kota Bern, Swiss.2. Dibangun tahun 1909Pembangkit listrik ini dibangun pada tahun 1909 oleh perusahaan Energie Wasser Bern.Setelah pembangkit listrik ini dimodernisasi pada tahun 1989, balai turbinnya dijadikan sebuah museum. Pembangkit listrik ini berkapasitas 11,3 megawatt.3. Sempat modernisasiBangunan utamanya dirancang oleh Eduard Locher dan Alfred Brunschwyler.","Jumat, 10 Juni 2022 05:58","5 FAKTA Bendungan Engehalde Lokasi Jasad Eril Ditemukan, Beserta Kronologi dan Unggahan Ridwan Kamil",clickbait
"SURYA.co.id - Gara-gara kecerobohannya sendiri, seorang anggota KKB Papua berhasil ditangkap aparat TNI -Polri.Tak hanya itu, perannya sebagai pemasok amunisi untuk KKB Papua juga ikut terbongkar.Penyebab awalnya adalah ia nekat membacok warga sipil di Intan Jaya pada April 2021 lalu.Polisi langsung menangkapnya dan akhirnya terbongkar perannya sebagai anggota KKB Papua yang bertugas memasok amunisi.Melansir dari laman tribratanews.polri.go.id, berdasarkan Informasi adanya keberadaan Tersangka Pembacokan Warga Intan Jaya pada April 2021 di Pertigaan Pasar Yokatapang, Tim Aparat Gabungan Ops Damai Cartenz 2020 melakukan pegecekan dan penyelidikan. Dari hasil pengecekan, tersangka terlihat di Kali Wabu, Rabu (08/06/2022).Selanjutnya, tim bergerak dan berhasil mengamankan tersangka yang diketahui berinisial FS.Dari hasil pemeriksaan sementara, tersangka FS ini juga merupakan anggota KKB Papua Aktif.Hal ini dibenarkan oleh Kabid Humas Polda Papua Kombes Pol A. Mustofa Kamal, SH saat dikonfirmasi. Pihaknya menyebutkan penangkanapan FS berawal dari penyeledikan kasus pembacokan Asep Saputra pada April 2021 lalu.“Setelah mendapat informasi, kita berhasil mengamankan tersangka dan selanjutnya kita lakukan pengembangan,” ujarnya.Dari Hasil pengembangan, Lanjut Kasatgas bahwa Tersangka FS ini diketahui merupakan jaringan pengadaan amunisi untuk KKB Papua.Hal ini terbukti saat mengamankan tersangka petugas menemukan 10 butir amunisi Cal 5,56 MM.“Selain terkait kasus pembacokan, tersangka FS juga jaringan Pengadaan Amunisi untuk KKB Papua.Selanjutnya kita akan lakukan pengembangan dan kita informasikan kembali,”pungkas Kabid Humas Polda Papua.Terungkap sosok Praka AKG","Jumat, 10 Juni 2022 06:02","Anggota KKB Papua Ceroboh, Perannya Sebagai Pemasok Amunisi Terbongkar Gara-gara Bacok Warga Sipil",clickbait
" SURYA.co.id | SURABAYA - Gelombang ribuan Bonek akan serbu Kota Bandung untuk memberikan dukungan secara langsung kepada Persebaya Surabaya tampil di Piala Presiden 2022.Husain Ghozali, koordinator Green Nord 27 (salah satu kelompok tribun suporter) kepada surya.co.id menyebutkan, diputuskannya Bonek berangkat ke Kota Bandung karena Ibu Kota Provinsi Jabar menjadi rumah kedua bagi Bonek dan Persebaya.Selain kedekatan antara suporter Persebaya Surabaya dan Persib Bandung. Bandung memiliki banyak kenangan bagi Bajul IjoDiantaranya, Persebaya Surabaya diakui kembali oleh PSSI (setelah sebelumnya dibekukan) dalam Kongres PSSI yang dilakukan di Bandung.Persebaya Surabaya menjadi juara Liga 2 2017 dalam laga final yang digelar di Bandung.""Pasti banyak (Bonek ke Bandung), bagi Bonek, Bandung kan rumah kedua. Banyak hubungan antar suporter, Surabaya-Bandung sangat bagus sehingga mereka merasa nyaman di Bandung,"" sebut Husain Ghozali pada surya.co.id, Kamis (9/6/2022).Gelombang ribuan Bonek ke Bandung itu terjadi secara mandiri karena kelompok suporter Bonek tidak memberangkatkan anggotanya secara resmi.""Kami secara resmi tidak memberangkatkan away Bandung. Tapi temen-temen berinisiatif away Bandung secara mandiri,"" jelas pria akrab disapa Cak Cong itu.""Jadi saya harap kenyamanan ini agar dijaga, jangan sampai temen-temen dari Surabaya membuat tuan rumah tidak nyaman. Tetap menjaga seduluran,"" ucap Cak Cong.Jadwal babak penyisihan Grup C Piala Presiden 2022 pada laga pertama, Persebaya Surabaya akan menghadapi Bhayangkara FC pada 13 Juni 2022 mendatang, kick off pukul 20.30 Wib.Selanjutnya laga kedua akan meladeni Persib Bandung di tempat yang sama, Jumat (17/6/2022), kick off pukul 20.30 Wib.Laga penutup Grup C, Persebaya akan hadapi Bali United, Senin (20/6/2022) di tempat dan waktu yang sama. ","Jumat, 10 Juni 2022 06:06","Ribuan Bonek Serbu Bandung Dukung Persebaya di Piala Presiden 2022, Cak Cong: Jaga Keamanan Rek!",clickbait
